location,latitude,longitude,area,bhk,bathrooms,parking,property_age,furnishing,property_type,price,city,source_id
Dlf Phase 2,28.483901,77.0846097,1650.0,4,4.0,,3,Unfurnished,Apartment,24000000.0,Gurgaon,E71273620
Sector 112 Gurgaon,28.5203402,77.0188612,1650.0,3,3.0,,6,Semifurnished,Apartment,37900000.0,Gurgaon,Z71155908
Sector 108 Gurgaon,28.5128994,76.9823615,848.2,2,2.0,,5,Semifurnished,Apartment,24000000.0,Gurgaon,Y71123154
Malibu Town,28.4234344,77.0468649,1900.0,3,3.0,,6,Semifurnished,Independent/Builder Floor,23500000.0,Gurgaon,Q71099906
Sector 63 Gurgaon,28.3964476,77.086498,2000.0,4,4.0,,1,Semifurnished,Independent/Builder Floor,21500567.0,Gurgaon,C71082582
Sector 63A Gurgaon,28.4618719,77.05688,1800.0,3,3.0,,1,Semifurnished,Independent/Builder Floor,18899999.0,Gurgaon,N71027448
Sector 63A Gurgaon,28.4618719,77.05688,1800.0,3,3.0,,1,Semifurnished,Independent/Builder Floor,18900985.0,Gurgaon,O71027180
Sector 63A Gurgaon,28.4618719,77.05688,1850.0,3,3.0,,1,Semifurnished,Independent/Builder Floor,18888880.0,Gurgaon,R71027298
Sector 103 Gurgaon,28.493087,76.9866453,1480.0,3,4.0,,1,Semifurnished,Apartment,10700000.0,Gurgaon,E70335518
Sector 107 Gurgaon,28.506941,76.9752137,927.0,2,2.0,,1,Unfurnished,Apartment,10500000.0,Gurgaon,W70336560
Sector 103 Gurgaon,28.493087,76.9866453,1650.0,4,5.0,,1,Semifurnished,Apartment,14500000.0,Gurgaon,W70335306
Sector 90 Gurgaon,28.4069974,76.9365562,1750.0,3,3.0,,1,Semifurnished,Apartment,14000000.0,Gurgaon,F70879770
Sector 68 Gurgaon,28.388897,77.0459859,1650.0,3,4.0,,6,Semifurnished,Apartment,18600000.0,Gurgaon,V70843064
Sector 102 Gurgaon,28.4754872,76.9711747,734.8,2,2.0,,5,Semifurnished,Apartment,13500000.0,Gurgaon,K70740242
Sector 102 Gurgaon,28.4754872,76.9711747,734.8,2,2.0,,6,Semifurnished,Apartment,13700000.0,Gurgaon,J70340074
Sector 107 Gurgaon,28.506941,76.9752137,1760.0,3,3.0,,1,Semifurnished,Apartment,18000000.0,Gurgaon,U70288158
Sector 107 Gurgaon,28.506941,76.9752137,1460.0,3,3.0,,1,Unfurnished,Apartment,13900000.0,Gurgaon,P68258450
Dlf Phase 2,28.483901,77.0846097,1650.0,4,4.0,,2,Semifurnished,Apartment,23800000.0,Gurgaon,Q25150575
Sector 66 Gurgaon,28.3974292,77.0538823,1188.0,2,2.0,,1,Semifurnished,Apartment,17000000.0,Gurgaon,P71588628
Sector 66 Gurgaon,28.3974292,77.0538823,1650.0,3,3.0,,1,Semifurnished,Apartment,33000000.0,Gurgaon,H71588172
Sector 66 Gurgaon,28.3974292,77.0538823,1650.0,3,3.0,,1,Semifurnished,Apartment,32000000.0,Gurgaon,Y71588104
Sector 67 Gurgaon,28.3864052,77.0598046,2046.0,3,3.0,,1,Semifurnished,Apartment,33000000.0,Gurgaon,F71586352
Sector 37D Gurgaon,28.4480039,76.9697682,1650.0,3,3.0,,5,Semifurnished,Independent/Builder Floor,14600000.0,Gurgaon,M71496378
Malibu Town,28.4234344,77.0468649,1250.0,3,3.0,,2,Semifurnished,Independent/Builder Floor,14000000.0,Gurgaon,A71461796
Sector 66 Gurgaon,28.3974292,77.0538823,1187.0,2,2.0,,1,Semifurnished,Apartment,17555555.0,Gurgaon,O71448262
Sector 68 Gurgaon,28.388897,77.0459859,1250.0,3,2.0,,6,Semifurnished,Apartment,20000000.0,Gurgaon,J71429504
Sector 36A Gurgaon,28.4202285,76.9719998,1650.0,3,3.0,,5,Semifurnished,Apartment,32500000.0,Gurgaon,L71352424
Sector 65 Gurgaon,28.4030162,77.0695893,1900.0,3,3.0,,1,Semifurnished,Apartment,64500000.0,Gurgaon,F71241074
Sector 66 Gurgaon,28.3974292,77.0538823,1300.0,3,3.0,,2,Unknown,Apartment,25200000.0,Gurgaon,W71150902
Sector 65 Gurgaon,28.4030162,77.0695893,1931.0,3,3.0,,5,Semifurnished,Apartment,26082000.0,Gurgaon,X71052698
Sector 65 Gurgaon,28.4030162,77.0695893,1420.0,2,2.0,,5,Semifurnished,Apartment,19170000.0,Gurgaon,A71052600
Sector 65 Gurgaon,28.4030162,77.0695893,1420.0,2,2.0,,5,Semifurnished,Apartment,19170000.0,Gurgaon,P71052498
Sector 65 Gurgaon,28.4030162,77.0695893,1420.0,2,2.0,,5,Semifurnished,Apartment,19345500.0,Gurgaon,L71052132
Sector 65 Gurgaon,28.4030162,77.0695893,1420.0,2,2.0,,5,Semifurnished,Apartment,19345500.0,Gurgaon,Z71052066
Sector 65 Gurgaon,28.4030162,77.0695893,1450.0,2,2.0,,5,Semifurnished,Apartment,20466000.0,Gurgaon,T71051948
Sector 65 Gurgaon,28.4030162,77.0695893,1261.0,2,2.0,,5,Semifurnished,Apartment,17077500.0,Gurgaon,R71051786
Sector 65 Gurgaon,28.4030162,77.0695893,1261.0,2,2.0,,5,Semifurnished,Apartment,17077500.0,Gurgaon,K71051726
Sector 110 A Gurgaon,28.5069625,77.018321,2400.0,4,4.0,,1,Semifurnished,Apartment,23500000.0,Gurgaon,Z61880856
Sector 37C Gurgaon,28.4489095,76.9880502,900.0,2,2.0,,6,Semifurnished,Apartment,5600000.0,Gurgaon,U70818296
Sector 51 Gurgaon,28.4287011,77.0666877,1525.0,3,4.0,,2,Semifurnished,Independent/Builder Floor,15500000.0,Gurgaon,A70462294
Sector 63 Gurgaon,28.3964476,77.086498,2089.0,4,4.0,,5,Semifurnished,Apartment,55000000.0,Gurgaon,G70798284
Sector 63 Gurgaon,28.3964476,77.086498,1484.0,4,4.0,,5,Semifurnished,Apartment,39000000.0,Gurgaon,A70798128
Sector 63 Gurgaon,28.3964476,77.086498,1421.0,4,4.0,,5,Semifurnished,Apartment,37400000.0,Gurgaon,W70797762
Sector 63 Gurgaon,28.3964476,77.086498,1367.0,4,4.0,,5,Semifurnished,Apartment,38800000.0,Gurgaon,K70797500
Sector 66 Gurgaon,28.3974292,77.0538823,2000.0,3,4.0,,2,Semifurnished,Apartment,36000000.0,Gurgaon,A70755062
Sector 50 Gurgaon,28.4268461,77.0584252,1650.0,4,4.0,,6,Semifurnished,Independent/Builder Floor,32400000.0,Gurgaon,V70710270
Sector 31 Gurgaon,28.4540044,77.0497179,1650.0,4,6.0,,2,Semifurnished,Apartment,50100000.0,Gurgaon,I71688612
Palam Vihar,28.4983353,77.0203007,1550.0,3,3.0,,6,Semifurnished,Independent/Builder Floor,21800000.0,Gurgaon,S71562416
Sector 110 Gurgaon,28.5069625,77.018321,3580.0,5,5.0,,6,Semifurnished,Apartment,43000000.0,Gurgaon,M71472072
Sector 23 Gurgaon,28.510319,77.0530094,1250.0,3,3.0,,6,Semifurnished,Independent/Builder Floor,18000000.0,Gurgaon,P71439296
Sector 23 Gurgaon,28.510319,77.0530094,1254.0,3,3.0,,6,Semifurnished,Independent/Builder Floor,17400000.0,Gurgaon,G71438994
Sector 23 Gurgaon,28.510319,77.0530094,1250.0,3,3.0,,6,Semifurnished,Independent/Builder Floor,17300000.0,Gurgaon,Z71438800
Sector 50 Gurgaon,28.4268461,77.0584252,2500.0,4,4.0,,6,Semifurnished,Independent/Builder Floor,32000000.0,Gurgaon,X67869268
Sector 23 Gurgaon,28.510319,77.0530094,1250.0,3,3.0,,6,Semifurnished,Independent/Builder Floor,17300000.0,Gurgaon,L71293956
Palam Vihar,28.4983353,77.0203007,1550.0,3,3.0,,6,Semifurnished,Independent/Builder Floor,20500000.0,Gurgaon,Q71291840
Palam Vihar,28.4983353,77.0203007,1550.0,3,3.0,,6,Semifurnished,Independent/Builder Floor,19500000.0,Gurgaon,T71291680
Dlf Phase 2,28.483901,77.0846097,1650.0,3,4.0,,3,Unknown,Independent/Builder Floor,21500000.0,Gurgaon,E71137844
Sector 45 Gurgaon,28.4449004,77.0663545,1800.0,3,3.0,,3,Semifurnished,Apartment,16500000.0,Gurgaon,E70431124
Sector 67A Gurgaon,28.4618719,77.05688,2200.0,4,4.0,,6,Semifurnished,Independent/Builder Floor,43500000.0,Gurgaon,Z67951934
Sector-33 Sohna,28.3241636,77.0848644,1789.0,3,3.0,,1,Semifurnished,Apartment,17000000.0,Gurgaon,I71266968
Sohna,28.3241636,77.0848644,1650.0,2,2.0,,1,Semifurnished,Apartment,10000000.0,Gurgaon,T71217602
Sector 48 Gurgaon,28.4104903,77.0394627,3580.0,4,4.0,,1,Semifurnished,Apartment,130000000.0,Gurgaon,X71156342
Sector 48 Gurgaon,28.4104903,77.0394627,2000.0,3,3.0,,1,Semifurnished,Apartment,62500000.0,Gurgaon,T71155910
Sector 109 Gurgaon,28.5109205,77.0065956,1650.0,3,4.0,,1,Semifurnished,Apartment,20700000.0,Gurgaon,S71144716
Sector 102 Gurgaon,28.4754872,76.9711747,1650.0,3,4.0,,1,Semifurnished,Apartment,19800000.0,Gurgaon,D71144554
Sector 104 Gurgaon,28.4795324,76.9937197,884.58,3,2.0,,5,Semifurnished,Apartment,14900000.0,Gurgaon,R71144504
Sector 109 Gurgaon,28.5109205,77.0065956,1650.0,3,4.0,,2,Semifurnished,Apartment,22800000.0,Gurgaon,D71080520
Sector 36 Sohna,28.4160012,77.1085564,1120.0,3,2.0,,5,Unknown,Independent/Builder Floor,8800000.0,Gurgaon,O69141754
Sector 48 Gurgaon,28.4104903,77.0394627,1650.0,4,5.0,,2,Semifurnished,Apartment,118000000.0,Gurgaon,Y71335714
Sector 48 Gurgaon,28.4104903,77.0394627,1650.0,4,5.0,,2,Semifurnished,Apartment,116000000.0,Gurgaon,Q71335044
Sector 48 Gurgaon,28.4104903,77.0394627,11000.0,6,6.0,,2,Semifurnished,Apartment,316000000.0,Gurgaon,U71333194
Sector 48 Gurgaon,28.4104903,77.0394627,1650.0,4,6.0,,2,Semifurnished,Apartment,125000000.0,Gurgaon,F71332912
Sector 48 Gurgaon,28.4104903,77.0394627,1650.0,3,3.0,,2,Semifurnished,Apartment,66500000.0,Gurgaon,E71330064
Sector 48 Gurgaon,28.4104903,77.0394627,4615.0,4,5.0,,2,Semifurnished,Apartment,126000000.0,Gurgaon,Y71329512
Sector 48 Gurgaon,28.4104903,77.0394627,1650.0,3,3.0,,2,Semifurnished,Apartment,63000000.0,Gurgaon,I71328490
Sector 48 Gurgaon,28.4104903,77.0394627,1650.0,4,4.0,,2,Semifurnished,Apartment,125000000.0,Gurgaon,H71328064
Sector 48 Gurgaon,28.4104903,77.0394627,11000.0,6,7.0,,2,Semifurnished,Apartment,318000000.0,Gurgaon,D71327410
Sector 48 Gurgaon,28.4104903,77.0394627,7000.0,5,6.0,,2,Semifurnished,Apartment,215500000.0,Gurgaon,V71327034
Sector 48 Gurgaon,28.4104903,77.0394627,1650.0,4,5.0,,2,Semifurnished,Apartment,127000000.0,Gurgaon,V71319880
Sector 48 Gurgaon,28.4104903,77.0394627,11000.0,6,7.0,,2,Semifurnished,Apartment,325000000.0,Gurgaon,C71319572
Sector 48 Gurgaon,28.4104903,77.0394627,7000.0,5,6.0,,2,Semifurnished,Apartment,214000000.0,Gurgaon,W71319236
Sector 48 Gurgaon,28.4104903,77.0394627,7000.0,6,7.0,,2,Semifurnished,Apartment,215000000.0,Gurgaon,B71241136
Sector 48 Gurgaon,28.4104903,77.0394627,1650.0,4,4.0,,2,Semifurnished,Apartment,130000000.0,Gurgaon,V71240610
Sector 48 Gurgaon,28.4104903,77.0394627,1650.0,3,3.0,,2,Semifurnished,Apartment,65500000.0,Gurgaon,N71238372
Sector 48 Gurgaon,28.4104903,77.0394627,1650.0,3,3.0,,2,Semifurnished,Apartment,64500000.0,Gurgaon,Z71238166
Sector 48 Gurgaon,28.4104903,77.0394627,1650.0,3,3.0,,1,Semifurnished,Apartment,61000000.0,Gurgaon,A71232160
Sector 48 Gurgaon,28.4104903,77.0394627,7000.0,6,7.0,,2,Semifurnished,Apartment,220000000.0,Gurgaon,C71231340
Sector 48 Gurgaon,28.4104903,77.0394627,1650.0,3,4.0,,2,Semifurnished,Apartment,64000000.0,Gurgaon,X71202138
Sector 48 Gurgaon,28.4104903,77.0394627,1650.0,3,3.0,,2,Semifurnished,Apartment,63000000.0,Gurgaon,I71161998
Sector 48 Gurgaon,28.4104903,77.0394627,1650.0,3,3.0,,2,Semifurnished,Apartment,65000000.0,Gurgaon,Z71160402
Sector 48 Gurgaon,28.4104903,77.0394627,1650.0,4,6.0,,2,Semifurnished,Apartment,110000000.0,Gurgaon,E71160052
Sector 48 Gurgaon,28.4104903,77.0394627,1650.0,4,6.0,,2,Semifurnished,Apartment,120000000.0,Gurgaon,S71159674
Sector 48 Gurgaon,28.4104903,77.0394627,1650.0,4,6.0,,2,Unknown,Apartment,117500000.0,Gurgaon,D71159492
